Date,Id,adjustment factor
2018,34,1
2019,34,1
2020,34,1
2008,35,1
2009,35,1
2010,35,1
2011,35,1
2012,35,1
2013,35,1
2014,35,1
2015,35,1
2016,35,1
2017,35,1
2018,35,1
2019,35,1
2020,35,1
2008,36,1
2009,36,1
2010,36,1
2011,36,1
2012,36,1
2013,36,1
2014,36,1
2015,36,1
2016,36,1
2017,36,1
2018,36,1
2019,36,1
2020,36,1
2008,37,0.5
2009,37,0.5
2010,37,0.5
2011,37,0.5
2012,37,0.5
2013,37,0.5
2014,37,0.5
2015,37,0.5
2016,37,0.5
2017,37,1
2018,37,1
2019,37,1
2020,37,1
2008,38,1
2009,38,1
2010,38,1
2011,38,1
2012,38,1
2013,38,1
2014,38,1
2015,38,1
2016,38,1
2017,38,1
2018,38,1
2019,38,1
2020,38,1
2008,39,9.7361
2009,39,9.7361
2010,39,9.901
2011,39,0.9901
2012,39,0.9901
2013,39,0.9901
2014,39,1
2015,39,1
2016,39,1
2017,39,1
2018,39,1
2019,39,1
2020,39,1
2008,40,0.7692
2009,40,0.7692
2010,40,0.7692
2011,40,1
2012,40,1
2013,40,1
2014,40,1
2015,40,1
2016,40,1
2017,40,1
2018,40,1
2019,40,1
2020,40,1
2008,41,662.4426
2009,41,662.4426
2010,41,662.4426
2011,41,746.5911
2012,41,7.4659
2013,41,7.4659
2014,41,7.4659
2015,41,7.4659
2016,41,7.4659
2017,41,7.4659
2018,41,1
2019,41,1
2020,41,1
2008,42,0.8815
2009,42,1
2010,42,1
2011,42,1
2012,42,1
2013,42,1
2014,42,1
2015,42,1
2016,42,1
2017,42,1
2018,42,1
2019,42,1
2020,42,1
2008,43,1
2009,43,1
2010,43,1
2011,43,1
2012,43,1
2013,43,1
2014,43,1
2015,43,1
2016,43,1
2017,43,1
2018,43,1
2019,43,1
2020,43,1
2008,44,0.8439
2009,44,0.8439
2010,44,0.8761
2011,44,0.8761
2012,44,0.8761
2013,44,1
2014,44,1
2015,44,1
2016,44,1
2017,44,1
2018,44,1
2019,44,1
2020,44,1
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,1
2009,46,1
2010,46,1
2011,46,1
2012,46,1
2013,46,1
2014,46,1
2015,46,1
2016,46,1
2017,46,1
2018,46,1
2019,46,1
2020,46,1
2008,47,1
2009,47,1
2010,47,1
2011,47,1
2012,47,1
2013,47,1
2014,47,1
2015,47,1
2016,47,1
2017,47,1
2018,47,1
2019,47,1
2020,47,1
2008,48,
2009,48,
2010,48,1
2011,48,1
2012,48,1
2013,48,1
2014,48,1
2015,48,1
2016,48,1
2017,48,1
2018,48,1
2019,48,1
2020,48,1
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,0.3617
2013,49,0.5038
2014,49,0.6944
2015,49,0.8333
2016,49,1
2017,49,1
2018,49,1
2019,49,1
2020,49,1
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,0.9958
2015,50,0.9958
2016,50,0.9958
2017,50,0.9958
2018,50,0.9958
2019,50,0.9958
2020,50,1
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,1
2016,52,1
2017,52,1
2018,52,1
2019,52,1
2020,52,1
2008,53,0.9622
2009,53,1
2010,53,1
2011,53,1
2012,53,1
2013,53,1
2014,53,1
2015,53,1
2016,53,1
2017,53,1
2018,53,1
2019,53,1
2020,53,1
2008,54,0.25
2009,54,0.25
2010,54,0.25
2011,54,0.25
2012,54,0.25
2013,54,0.25
2014,54,0.25
2015,54,0.25
2016,54,1
2017,54,1
2018,54,1
2019,54,1
2020,54,1
2008,55,1
2009,55,1
2010,55,1
2011,55,1
2012,55,1
2013,55,1
2014,55,1
2015,55,1
2016,55,1
2017,55,1
2018,55,1
2019,55,1
2020,55,1
2008,56,0.8811
2009,56,1
2010,56,1
2011,56,1
2012,56,1
2013,56,1
2014,56,1
2015,56,1
2016,56,1
2017,56,1
2018,56,1
2019,56,1
2020,56,1
2008,57,1
2009,57,1
2010,57,1
2011,57,1
2012,57,1
2013,57,1
2014,57,1
2015,57,1
2016,57,1
2017,57,1
2018,57,1
2019,57,1
2020,57,1
2008,58,0.9668
2009,58,0.9668
2010,58,0.9668
2011,58,0.9668
2012,58,0.9668
2013,58,0.9668
2014,58,0.9668
2015,58,0.9668
2016,58,0.9668
2017,58,0.9668
2018,58,1
2019,58,1
2020,58,1
2008,59,1
2009,59,1
2010,59,1
2011,59,1
2012,59,1
2013,59,1
2014,59,1
2015,59,1
2016,59,1
2017,59,1
2018,59,1
2019,59,1
2020,59,1
2008,60,1
2009,60,1
2010,60,1
2011,60,1
2012,60,1
2013,60,1
2014,60,1
2015,60,1
2016,60,1
2017,60,1
2018,60,1
2019,60,1
2020,60,1
2008,61,0.9804
2009,61,0.9804
2010,61,0.9804
2011,61,1
2012,61,1
2013,61,1
2014,61,1
2015,61,1
2016,61,1
2017,61,1
2018,61,1
2019,61,1
2020,61,1
2008,62,1
2009,62,1
2010,62,1
2011,62,1
2012,62,1
2013,62,1
2014,62,1
2015,62,1
2016,62,1
2017,62,1
2018,62,1
2019,62,1
2020,62,1
2008,63,1
2009,63,1
2010,63,1
2011,63,1
2012,63,1
2013,63,1
2014,63,1
2015,63,1
2016,63,1
2017,63,1
2018,63,1
2019,63,1
2020,63,1
2008,64,1
2009,64,1
2010,64,1
2011,64,1
2012,64,1
2013,64,1
2014,64,1
2015,64,1
2016,64,1
2017,64,1
2018,64,1
2019,64,1
2020,64,1
2008,65,1
2009,65,1
2010,65,1
2011,65,1
2012,65,1
2013,65,1
2014,65,1
2015,65,1
2016,65,1
2017,65,1
2018,65,1
2019,65,1
2020,65,1
2008,66,
2009,66,
2010,66,
2011,66,1
2012,66,1
2013,66,1
2014,66,1
2015,66,1
2016,66,1
2017,66,1
2018,66,1
2019,66,1
2020,66,1
2008,67,1
2009,67,1
2010,67,1
2011,67,1
2012,67,1
2013,67,1
2014,67,1
2015,67,1
2016,67,1
2017,67,1
2018,67,1
2019,67,1
2020,67,1
2008,68,260047.6
2009,68,260047.6
2010,68,260047.6
2011,68,7.2741
2012,68,7.2741
2013,68,10
2014,68,10
2015,68,10
2016,68,10
2017,68,10
2018,68,10
2019,68,1
2020,68,1
2008,69,0.9456
2009,69,0.9663
2010,69,0.9663
2011,69,0.9663
2012,69,1
2013,69,1
2014,69,1
2015,69,1
2016,69,1
2017,69,1
2018,69,1
2019,69,1
2020,69,1
2008,70,1
2009,70,1
2010,70,1
2011,70,1
2012,70,1
2013,70,1
2014,70,1
2015,70,1
2016,70,1
2017,70,1
2018,70,1
2019,70,1
2020,70,1
2008,71,1
2009,71,1
2010,71,1
2011,71,1
2012,71,1
2013,71,1
2014,71,1
2015,71,1
2016,71,1
2017,71,1
2018,71,1
2019,71,1
2020,71,1
2008,72,1
2009,72,1
2010,72,1
2011,72,1
2012,72,1
2013,72,1
2014,72,1
2015,72,1
2016,72,1
2017,72,1
2018,72,1
2019,72,1
2020,72,1
2008,73,0.8919
2009,73,0.8919
2010,73,0.8919
2011,73,0.8919
2012,73,0.8919
2013,73,0.8919
2014,73,0.8919
2015,73,1
2016,73,1
2017,73,1
2018,73,1
2019,73,1
2020,73,1
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,1
2014,75,1
2015,75,1
2016,75,1
2017,75,1
2018,75,1
2019,75,1
2020,75,1
2008,76,0.677
2009,76,0.8254
2010,76,0.8254
2011,76,0.8254
2012,76,0.8254
2013,76,0.8254
2014,76,0.8254
2015,76,0.8254
2016,76,1
2017,76,1
2018,76,1
2019,76,1
2020,76,1
2008,77,0.9947
2009,77,1
2010,77,1
2011,77,1
2012,77,1
2013,77,1
2014,77,1
2015,77,1
2016,77,1
2017,77,1
2018,77,1
2019,77,1
2020,77,1
2008,78,0.9876
2009,78,0.9876
2010,78,0.9876
2011,78,0.9876
2012,78,0.9876
2013,78,1
2014,78,1
2015,78,1
2016,78,1
2017,78,1
2018,78,1
2019,78,1
2020,78,1
2008,79,1
2009,79,1
2010,79,1
2011,79,1
2012,79,1
2013,79,1
2014,79,1
2015,79,1
2016,79,1
2017,79,1
2018,79,1
2019,79,1
2020,79,1
2008,80,1
2009,80,1
2010,80,1
2011,80,1
2012,80,1
2013,80,1
2014,80,1
2015,80,1
2016,80,1
2017,80,1
2018,80,1
2019,80,1
2020,80,1
2008,81,1
2009,81,1
2010,81,1
2011,81,1
2012,81,1
2013,81,1
2014,81,1
2015,81,1
2016,81,1
2017,81,1
2018,81,1
2019,81,1
2020,81,1
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,1
2015,82,1
2016,82,1
2017,82,1
2018,82,1
2019,82,1
2020,82,1
2008,83,0.9091
2009,83,0.9091
2010,83,0.9091
2011,83,0.9091
2012,83,1
2013,83,1
2014,83,1
2015,83,1
2016,83,1
2017,83,1
2018,83,1
2019,83,1
2020,83,1
2008,84,1
2009,84,1
2010,84,1
2011,84,1
2012,84,1
2013,84,1
2014,84,1
2015,84,1
2016,84,1
2017,84,1
2018,84,1
2019,84,1
2020,84,1
2008,85,1
2009,85,1
2010,85,1
2011,85,1
2012,85,1
2013,85,1
2014,85,1
2015,85,1
2016,85,1
2017,85,1
2018,85,1
2019,85,1
2020,85,1
2008,86,1
2009,86,1
2010,86,1
2011,86,1
2012,86,1
2013,86,1
2014,86,1
2015,86,1
2016,86,1
2017,86,1
2018,86,1
2019,86,1
2020,86,1
2008,87,4.9573
2009,87,4.9573
2010,87,4.9573
2011,87,4.9573
2012,87,0.9915
2013,87,0.9915
2014,87,0.9915
2015,87,0.9915
2016,87,0.9915
2017,87,0.9915
2018,87,0.9915
2019,87,1
2020,87,1
2008,88,0.903
2009,88,0.91
2010,88,0.91
2011,88,0.9117
2012,88,0.9802
2013,88,0.9802
2014,88,0.9802
2015,88,0.9802
2016,88,0.9802
2017,88,0.9802
2018,88,1
2019,88,1
2020,88,1
2008,89,1
2009,89,1
2010,89,1
2011,89,1
2012,89,1
2013,89,1
2014,89,1
2015,89,1
2016,89,1
2017,89,1
2018,89,1
2019,89,1
2020,89,1
2008,90,
2009,90,1
2010,90,1
2011,90,1
2012,90,1
2013,90,1
2014,90,1
2015,90,1
2016,90,1
2017,90,1
2018,90,1
2019,90,1
2020,90,1
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,21.069
2014,91,21.069
2015,91,21.069
2016,91,21.069
2017,91,21.069
2018,91,21.069
2019,91,1
2020,91,1
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,1
2015,92,1
2016,92,1
2017,92,1
2018,92,1
2019,92,1
2020,92,1
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,1
2015,93,1
2016,93,1
2017,93,1
2018,93,1
2019,93,1
2020,93,1
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,1
2009,95,1
2010,95,1
2011,95,1
2012,95,1
2013,95,1
2014,95,1
2015,95,1
2016,95,1
2017,95,1
2018,95,1
2019,95,1
2020,95,1
2008,96,1
2009,96,1
2010,96,1
2011,96,1
2012,96,1
2013,96,1
2014,96,1
2015,96,1
2016,96,1
2017,96,1
2018,96,1
2019,96,1
2020,96,1
2008,97,100
2009,97,100
2010,97,100
2011,97,100
2012,97,1
2013,97,1
2014,97,1
2015,97,1
2016,97,1
2017,97,1
2018,97,1
2019,97,1
2020,97,1
2008,98,0.9752
2009,98,0.9752
2010,98,0.9752
2011,98,0.9752
2012,98,0.9752
2013,98,0.9752
2014,98,0.9752
2015,98,0.9752
2016,98,0.9752
2017,98,0.9752
2018,98,1
2019,98,1
2020,98,1
2008,99,
2009,99,1
2010,99,1
2011,99,1
2012,99,1
2013,99,1
2014,99,1
2015,99,1
2016,99,1
2017,99,1
2018,99,1
2019,99,1
2020,99,1
2008,100,0.9048
2009,100,0.9048
2010,100,0.9048
2011,100,0.9048
2012,100,1
2013,100,1
2014,100,1
2015,100,1
2016,100,1
2017,100,1
2018,100,1
2019,100,1
2020,100,1
2008,101,0.8557
2009,101,0.9128
2010,101,0.9493
2011,101,0.9873
2012,101,0.9873
2013,101,0.9873
2014,101,0.9873
2015,101,1
2016,101,1
2017,101,1
2018,101,1
2019,101,1
2020,101,1
2008,102,1
2009,102,1
2010,102,1
2011,102,1
2012,102,1
2013,102,1
2014,102,1
2015,102,1
2016,102,1
2017,102,1
2018,102,1
2019,102,1
2020,102,1
2008,103,0.8271
2009,103,0.8271
2010,103,0.8271
2011,103,0.8271
2012,103,0.8271
2013,103,0.8271
2014,103,0.8271
2015,103,0.8638
2016,103,0.8638
2017,103,0.8638
2018,103,0.8638
2019,103,1
2020,103,1
2008,104,1
2009,104,1
2010,104,1
2011,104,1
2012,104,1
2013,104,1
2014,104,1
2015,104,1
2016,104,1
2017,104,1
2018,104,1
2019,104,1
2020,104,1
2008,105,1
2009,105,1
2010,105,1
2011,105,1
2012,105,1
2013,105,1
2014,105,1
2015,105,1
2016,105,1
2017,105,1
2018,105,1
2019,105,1
2020,105,1
2008,106,0.3247
2009,106,0.3247
2010,106,0.3247
2011,106,1
2012,106,1
2013,106,1
2014,106,1
2015,106,1
2016,106,1
2017,106,1
2018,106,1
2019,106,1
2020,106,1
2008,107,23.472
2009,107,23.472
2010,107,23.472
2011,107,97.1472
2012,107,97.1472
2013,107,100
2014,107,100
2015,107,100
2016,107,100
2017,107,100
2018,107,100
2019,107,1
2020,107,1
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0.957
2014,108,0.957
2015,108,0.957
2016,108,0.957
2017,108,0.957
2018,108,1
2019,108,1
2020,108,1
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,1
2014,109,1
2015,109,1
2016,109,1
2017,109,1
2018,109,1
2019,109,1
2020,109,1
2008,110,9.5166
2009,110,9.5166
2010,110,0.0952
2011,110,0.0952
2012,110,1
2013,110,1
2014,110,1
2015,110,1
2016,110,1
2017,110,1
2018,110,1
2019,110,1
2020,110,1
2008,111,1
2009,111,1
2010,111,1
2011,111,1
2012,111,1
2013,111,1
2014,111,1
2015,111,1
2016,111,1
2017,111,1
2018,111,1
2019,111,1
2020,111,1
2008,112,0.9544
2009,112,0.9544
2010,112,0.9544
2011,112,0.9544
2012,112,0.9544
2013,112,1
2014,112,1
2015,112,1
2016,112,1
2017,112,1
2018,112,1
2019,112,1
2020,112,1
2008,113,1
2009,113,1
2010,113,1
2011,113,1
2012,113,1
2013,113,1
2014,113,1
2015,113,1
2016,113,1
2017,113,1
2018,113,1
2019,113,1
2020,113,1
2008,114,1
2009,114,1
2010,114,1
2011,114,1
2012,114,1
2013,114,1
2014,114,1
2015,114,1
2016,114,1
2017,114,1
2018,114,1
2019,114,1
2020,114,1
2008,115,1
2009,115,1
2010,115,1
2011,115,1
2012,115,1
2013,115,1
2014,115,1
2015,115,1
2016,115,1
2017,115,1
2018,115,1
2019,115,1
2020,115,1
2008,116,1
2009,116,1
2010,116,1
2011,116,1
2012,116,1
2013,116,1
2014,116,1
2015,116,1
2016,116,1
2017,116,1
2018,116,1
2019,116,1
2020,116,1
2008,117,
2009,117,
2010,117,0.5309
2011,117,0.5309
2012,117,0.5309
2013,117,0.5309
2014,117,0.5309
2015,117,0.5309
2016,117,0.5309
2017,117,0.5309
2018,117,0.5309
2019,117,0.5309
2020,117,1
2008,118,0.8648
2009,118,0.8648
2010,118,0.8648
2011,118,0.8648
2012,118,0.8648
2013,118,0.8648
2014,118,0.8648
2015,118,0.8648
2016,118,0.8648
2017,118,1
2018,118,1
2019,118,1
2020,118,1
2008,119,0.8954
2009,119,1
2010,119,1
2011,119,1
2012,119,1
2013,119,1
2014,119,1
2015,119,1
2016,119,1
2017,119,1
2018,119,1
2019,119,1
2020,119,1
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,1
2015,120,1
2016,120,1
2017,120,1
2018,120,1
2019,120,1
2020,120,1
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,1
2014,121,1
2015,121,1
2016,121,1
2017,121,1
2018,121,1
2019,121,1
2020,121,1
2008,122,1
2009,122,1
2010,122,1
2011,122,1
2012,122,1
2013,122,1
2014,122,1
2015,122,1
2016,122,1
2017,122,1
2018,122,1
2019,122,1
2020,122,1
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,1
2015,123,1
2016,123,1
2017,123,1
2018,123,1
2019,123,1
2020,123,1
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,1
2016,124,1
2017,124,1
2018,124,1
2019,124,1
2020,124,1
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,1
2016,125,1
2017,125,1
2018,125,1
2019,125,1
2020,125,1
2008,126,0.6574
2009,126,0.6574
2010,126,0.986
2011,126,0.986
2012,126,0.986
2013,126,0.986
2014,126,0.986
2015,126,1
2016,126,1
2017,126,1
2018,126,1
2019,126,1
2020,126,1
2008,127,1
2009,127,1
2010,127,1
2011,127,1
2012,127,1
2013,127,1
2014,127,1
2015,127,1
2016,127,1
2017,127,1
2018,127,1
2019,127,1
2020,127,1
2008,128,0.8829
2009,128,0.8829
2010,128,0.8829
2011,128,0.8829
2012,128,0.9062
2013,128,1
2014,128,1
2015,128,1
2016,128,1
2017,128,1
2018,128,1
2019,128,1
2020,128,1
2008,129,0.8345
2009,129,0.8345
2010,129,0.8345
2011,129,0.8345
2012,129,0.8345
2013,129,0.9444
2014,129,0.9444
2015,129,1
2016,129,1
2017,129,1
2018,129,1
2019,129,1
2020,129,1
2008,130,0.5
2009,130,0.5
2010,130,0.6
2011,130,0.7
2012,130,0.8
2013,130,0.9
2014,130,1
2015,130,1
2016,130,1
2017,130,1
2018,130,1
2019,130,1
2020,130,1
2008,131,1
2009,131,1
2010,131,1
2011,131,1
2012,131,1
2013,131,1
2014,131,1
2015,131,1
2016,131,1
2017,131,1
2018,131,1
2019,131,1
2020,131,1
2008,132,0.8638
2009,132,0.8638
2010,132,0.907
2011,132,0.9524
2012,132,1
2013,132,1
2014,132,1
2015,132,1
2016,132,1
2017,132,1
2018,132,1
2019,132,1
2020,132,1
2008,133,0.9867
2009,133,0.9867
2010,133,1
2011,133,1
2012,133,1
2013,133,1
2014,133,1
2015,133,1
2016,133,1
2017,133,1
2018,133,1
2019,133,1
2020,133,1
2008,134,0.988
2009,134,1
2010,134,1
2011,134,1
2012,134,1
2013,134,1
2014,134,1
2015,134,1
2016,134,1
2017,134,1
2018,134,1
2019,134,1
2020,134,1
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,
2015,135,1
2016,135,1
2017,135,1
2018,135,1
2019,135,1
2020,135,1
2008,136,1
2009,136,1
2010,136,1
2011,136,1
2012,136,1
2013,136,1
2014,136,1
2015,136,1
2016,136,1
2017,136,1
2018,136,1
2019,136,1
2020,136,1
2008,137,0.9677
2009,137,0.9677
2010,137,0.9677
2011,137,1
2012,137,1
2013,137,1
2014,137,1
2015,137,1
2016,137,1
2017,137,1
2018,137,1
2019,137,1
2020,137,1
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,0.2355
2009,139,0.2355
2010,139,0.2355
2011,139,0.2355
2012,139,0.7899
2013,139,0.9495
2014,139,0.9495
2015,139,1
2016,139,1
2017,139,1
2018,139,1
2019,139,1
2020,139,1
2008,140,2.68
2009,140,2.6903
2010,140,2.6903
2011,140,2.6903
2012,140,2.6903
2013,140,2.6903
2014,140,1
2015,140,1
2016,140,1
2017,140,1
2018,140,1
2019,140,1
2020,140,1
2008,141,1
2009,141,1
2010,141,1
2011,141,1
2012,141,1
2013,141,1
2014,141,1
2015,141,1
2016,141,1
2017,141,1
2018,141,1
2019,141,1
2020,141,1
2008,142,0.9774
2009,142,1
2010,142,1
2011,142,1
2012,142,1
2013,142,1
2014,142,1
2015,142,1
2016,142,1
2017,142,1
2018,142,1
2019,142,1
2020,142,1
2008,143,1
2009,143,1
2010,143,1
2011,143,1
2012,143,1
2013,143,1
2014,143,1
2015,143,1
2016,143,1
2017,143,1
2018,143,1
2019,143,1
2020,143,1
2008,144,4.1191
2009,144,4.1191
2010,144,4.1191
2011,144,4.1191
2012,144,4.1191
2013,144,4.1191
2014,144,4.1191
2015,144,4.1191
2016,144,4.1191
2017,144,1
2018,144,1
2019,144,1
2020,144,1
2008,145,
2009,145,
2010,145,1
2011,145,1
2012,145,1
2013,145,1
2014,145,1
2015,145,1
2016,145,1
2017,145,1
2018,145,1
2019,145,1
2020,145,1
2008,146,2.5711
2009,146,2.5711
2010,146,2.5711
2011,146,2.5711
2012,146,2.5711
2013,146,2.5711
2014,146,3
2015,146,1
2016,146,1
2017,146,1
2018,146,1
2019,146,1
2020,146,1
