Date,Id,Goodwill
2008,35,428748
2009,35,443940
2010,35,459337
2011,35,431225
2012,35,
2013,35,
2014,35,
2015,35,
2016,35,
2017,35,
2018,35,
2019,35,
2020,35,
2008,36,576104
2009,36,565655
2010,36,586180
2011,36,588607
2012,36,584199
2013,36,532752
2014,36,571213
2015,36,544071
2016,36,561234
2017,36,548327
2018,36,575537
2019,36,619002
2020,36,603603
2008,37,2035059
2009,37,2039909
2010,37,2095916
2011,37,1986488
2012,37,1644299
2013,37,1553756
2014,37,1629505
2015,37,24423
2016,37,30118
2017,37,9240
2018,37,167141
2019,37,181864
2020,37,250723
2008,38,58890
2009,38,58890
2010,38,94050
2011,38,76743
2012,38,30390
2013,38,11875
2014,38,
2015,38,
2016,38,175188
2017,38,155179
2018,38,74713
2019,38,76061
2020,38,70020
2008,39,
2009,39,
2010,39,
2011,39,256
2012,39,
2013,39,
2014,39,
2015,39,
2016,39,
2017,39,
2018,39,
2019,39,
2020,39,
2008,40,66719
2009,40,40409
2010,40,119447
2011,40,116563
2012,40,88822
2013,40,85621
2014,40,100109
2015,40,100004
2016,40,88014
2017,40,85663
2018,40,117304
2019,40,96399
2020,40,93636
2008,41,94737
2009,41,
2010,41,
2011,41,381
2012,41,1383
2013,41,5038
2014,41,514
2015,41,
2016,41,
2017,41,
2018,41,
2019,41,54439
2020,41,54339
2008,42,16039000
2009,42,19372000
2010,42,18470000
2011,42,18342000
2012,42,15963000
2013,42,15015000
2014,42,14027000
2015,42,13824000
2016,42,13556000
2017,42,13746000
2018,42,14273000
2019,42,14241000
2020,42,13779000
2008,43,203900
2009,43,190200
2010,43,190200
2011,43,190200
2012,43,190200
2013,43,190200
2014,43,190200
2015,43,224300
2016,43,230100
2017,43,230100
2018,43,230100
2019,43,230100
2020,43,230100
2008,44,12926
2009,44,12451
2010,44,6268
2011,44,6162
2012,44,3400
2013,44,2900
2014,44,2900
2015,44,2750
2016,44,2750
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,77186
2009,46,84312
2010,46,19718
2011,46,151244
2012,46,147082
2013,46,148971
2014,46,150772
2015,46,155381
2016,46,149825
2017,46,149978
2018,46,149886
2019,46,182902
2020,46,223713
2008,47,572000
2009,47,591000
2010,47,675000
2011,47,580000
2012,47,569000
2013,47,482000
2014,47,482000
2015,47,482000
2016,47,557000
2017,47,457000
2018,47,444000
2019,47,374000
2020,47,426000
2008,48,454000
2009,48,532000
2010,48,866000
2011,48,858000
2012,48,942000
2013,48,882000
2014,48,871000
2015,48,666000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,
2014,49,
2015,49,1897
2016,49,63
2017,49,30
2018,49,0
2019,49,
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,
2015,50,
2016,50,
2017,50,5411
2018,50,5134
2019,50,4856
2020,50,4579
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,51
2016,52,1973
2017,52,1346
2018,52,2292
2019,52,3126
2020,52,
2008,53,46619
2009,53,30363
2010,53,32528
2011,53,33900
2012,53,33137
2013,53,35669
2014,53,40124
2015,53,44414
2016,53,51965
2017,53,42994
2018,53,37747
2019,53,38416
2020,53,35417
2008,54,5024
2009,54,5881
2010,54,6089
2011,54,17393
2012,54,3093
2013,54,3038
2014,54,3038
2015,54,3038
2016,54,3038
2017,54,3038
2018,54,3038
2019,54,3038
2020,54,3038
2008,55,89679
2009,55,87081
2010,55,106088
2011,55,112152
2012,55,151134
2013,55,145092
2014,55,164412
2015,55,183020
2016,55,188934
2017,55,174343
2018,55,181149
2019,55,186126
2020,55,171372
2008,56,102585
2009,56,102511
2010,56,102677
2011,56,102751
2012,56,102680
2013,56,102580
2014,56,102880
2015,56,103170
2016,56,103262
2017,56,102911
2018,56,103032
2019,56,97894
2020,56,97751
2008,57,25992
2009,57,25933
2010,57,26866
2011,57,59469
2012,57,57931
2013,57,54748
2014,57,52897
2015,57,66144
2016,57,105976
2017,57,101480
2018,57,211871
2019,57,
2020,57,
2008,58,0
2009,58,0
2010,58,3000
2011,58,352000
2012,58,405000
2013,58,394000
2014,58,380000
2015,58,539000
2016,58,448000
2017,58,438000
2018,58,1541000
2019,58,1590000
2020,58,1508000
2008,59,
2009,59,
2010,59,
2011,59,
2012,59,
2013,59,
2014,59,
2015,59,
2016,59,
2017,59,
2018,59,4608
2019,59,4608
2020,59,4608
2008,60,10997
2009,60,10997
2010,60,10997
2011,60,10997
2012,60,7916
2013,60,7916
2014,60,7916
2015,60,7916
2016,60,7916
2017,60,7916
2018,60,7916
2019,60,6721
2020,60,6721
2008,61,3474
2009,61,3556
2010,61,3692
2011,61,3744
2012,61,3705
2013,61,5574
2014,61,5814
2015,61,5904
2016,61,6093
2017,61,5753
2018,61,5868
2019,61,5917
2020,61,5692
2008,62,2031
2009,62,2031
2010,62,2031
2011,62,2031
2012,62,2031
2013,62,2031
2014,62,2031
2015,62,2031
2016,62,1531
2017,62,0
2018,62,0
2019,62,
2020,62,
2008,63,0
2009,63,0
2010,63,0
2011,63,0
2012,63,
2013,63,
2014,63,
2015,63,
2016,63,
2017,63,
2018,63,
2019,63,
2020,63,86332
2008,64,43891000
2009,64,43627000
2010,64,43912000
2011,64,36957000
2012,64,32410000
2013,64,29932000
2014,64,29943000
2015,64,29383000
2016,64,29612000
2017,64,29462000
2018,64,26769000
2019,64,23083000
2020,64,22847000
2008,65,96524
2009,65,99908
2010,65,99658
2011,65,99658
2012,65,99630
2013,65,99630
2014,65,105720
2015,65,107096
2016,65,143280
2017,65,149921
2018,65,149921
2019,65,149921
2020,65,151068
2008,66,
2009,66,
2010,66,
2011,66,295928
2012,66,314794
2013,66,319067
2014,66,340394
2015,66,347339
2016,66,356041
2017,66,379367
2018,66,384645
2019,66,414299
2020,66,399398
2008,67,350
2009,67,350
2010,67,350
2011,67,350
2012,67,350
2013,67,350
2014,67,350
2015,67,350
2016,67,350
2017,67,350
2018,67,350
2019,67,350
2020,67,350
2008,68,30444
2009,68,16928
2010,68,11605
2011,68,11442
2012,68,12078
2013,68,11442
2014,68,11442
2015,68,11442
2016,68,7675
2017,68,7092
2018,68,6346
2019,68,5957
2020,68,5755
2008,69,425100
2009,69,
2010,69,461700
2011,69,445400
2012,69,478000
2013,69,460500
2014,69,491900
2015,69,655400
2016,69,548700
2017,69,577300
2018,69,
2019,69,
2020,69,
2008,70,0
2009,70,
2010,70,
2011,70,
2012,70,3230
2013,70,3230
2014,70,3230
2015,70,3230
2016,70,3230
2017,70,8198
2018,70,8198
2019,70,8198
2020,70,21178
2008,71,5268
2009,71,5268
2010,71,5268
2011,71,5268
2012,71,6624
2013,71,6624
2014,71,6624
2015,71,5617
2016,71,5617
2017,71,7017
2018,71,7017
2019,71,7017
2020,71,5849
2008,72,8139
2009,72,6403
2010,72,6464
2011,72,5431
2012,72,5479
2013,72,5435
2014,72,15310
2015,72,15443
2016,72,12382
2017,72,12313
2018,72,12297
2019,72,10401
2020,72,10401
2008,73,
2009,73,
2010,73,
2011,73,
2012,73,
2013,73,
2014,73,
2015,73,
2016,73,
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,69
2015,75,69
2016,75,69
2017,75,69
2018,75,0
2019,75,
2020,75,
2008,76,
2009,76,9000
2010,76,9000
2011,76,9000
2012,76,9000
2013,76,9000
2014,76,9000
2015,76,9000
2016,76,0
2017,76,27000
2018,76,42000
2019,76,51000
2020,76,60000
2008,77,107072
2009,77,104745
2010,77,132117
2011,77,131651
2012,77,132861
2013,77,124596
2014,77,124407
2015,77,126723
2016,77,131779
2017,77,127320
2018,77,149713
2019,77,172677
2020,77,213587
2008,78,372696
2009,78,378574
2010,78,377579
2011,78,377760
2012,78,378391
2013,78,378564
2014,78,378564
2015,78,378000
2016,78,375700
2017,78,384100
2018,78,381300
2019,78,812900
2020,78,812800
2008,79,8993
2009,79,8993
2010,79,8993
2011,79,8993
2012,79,8993
2013,79,8993
2014,79,8993
2015,79,8993
2016,79,8993
2017,79,8993
2018,79,82324
2019,79,82504
2020,79,82888
2008,80,74603
2009,80,92225
2010,80,91896
2011,80,116143
2012,80,115630
2013,80,115630
2014,80,80758
2015,80,80758
2016,80,80758
2017,80,80758
2018,80,80758
2019,80,47914
2020,80,49272
2008,81,3521000
2009,81,3538000
2010,81,3534000
2011,81,3231000
2012,81,3231000
2013,81,3231000
2014,81,3070000
2015,81,2355000
2016,81,2357000
2017,81,2313000
2018,81,2403000
2019,81,2220000
2020,81,2174000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,12
2014,82,0
2015,82,885
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,34772
2009,83,39967
2010,83,39967
2011,83,40657
2012,83,40722
2013,83,40708
2014,83,720
2015,83,722
2016,83,698
2017,83,2883
2018,83,2694
2019,83,2738
2020,83,2691
2008,84,624307
2009,84,655131
2010,84,703035
2011,84,747825
2012,84,694813
2013,84,376788
2014,84,342635
2015,84,360181
2016,84,364191
2017,84,439590
2018,84,450902
2019,84,518859
2020,84,491990
2008,85,63
2009,85,63
2010,85,63
2011,85,63
2012,85,63
2013,85,63
2014,85,0
2015,85,
2016,85,
2017,85,
2018,85,4845
2019,85,4389
2020,85,4389
2008,86,624307
2009,86,655131
2010,86,703035
2011,86,747825
2012,86,694813
2013,86,376788
2014,86,342635
2015,86,360181
2016,86,364191
2017,86,439590
2018,86,450902
2019,86,518859
2020,86,491990
2008,87,18430
2009,87,16339
2010,87,16339
2011,87,14890
2012,87,6244
2013,87,6244
2014,87,2594
2015,87,2594
2016,87,2594
2017,87,2594
2018,87,2594
2019,87,2594
2020,87,
2008,88,11420
2009,88,11420
2010,88,11420
2011,88,7025
2012,88,4726
2013,88,2674
2014,88,2674
2015,88,2674
2016,88,13948
2017,88,12112
2018,88,8401
2019,88,
2020,88,
2008,89,5002
2009,89,5002
2010,89,4984
2011,89,4984
2012,89,4984
2013,89,4984
2014,89,4737
2015,89,4723
2016,89,2760
2017,89,2760
2018,89,2760
2019,89,
2020,89,
2008,90,
2009,90,
2010,90,
2011,90,
2012,90,
2013,90,
2014,90,
2015,90,1776445
2016,90,1231769
2017,90,1188659
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,12077
2013,91,12542
2014,91,11664
2015,91,12474
2016,91,12474
2017,91,12474
2018,91,22173
2019,91,23362
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,1
2015,92,5
2016,92,5
2017,92,4
2018,92,4
2019,92,4
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,240622
2009,95,249916
2010,95,544276
2011,95,543443
2012,95,551853
2013,95,500680
2014,95,534822
2015,95,572150
2016,95,635132
2017,95,684635
2018,95,1258848
2019,95,1215511
2020,95,1281609
2008,96,8134
2009,96,7884
2010,96,7884
2011,96,7884
2012,96,0
2013,96,0
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,64885
2009,97,62981
2010,97,57261
2011,97,34639
2012,97,31630
2013,97,26755
2014,97,25505
2015,97,17594
2016,97,17594
2017,97,17594
2018,97,17594
2019,97,17594
2020,97,18522
2008,98,59892
2009,98,59333
2010,98,65402
2011,98,65083
2012,98,67689
2013,98,65503
2014,98,67703
2015,98,68502
2016,98,163204
2017,98,150744
2018,98,162616
2019,98,164681
2020,98,154774
2008,99,28641
2009,99,34328
2010,99,35544
2011,99,34356
2012,99,34543
2013,99,31427
2014,99,31557
2015,99,36943
2016,99,32430
2017,99,36050
2018,99,
2019,99,
2020,99,
2008,100,228716
2009,100,231318
2010,100,228042
2011,100,228879
2012,100,115608
2013,100,92400
2014,100,92400
2015,100,92400
2016,100,97080
2017,100,92400
2018,100,92400
2019,100,92400
2020,100,398514
2008,101,
2009,101,2025
2010,101,2025
2011,101,2025
2012,101,2025
2013,101,2025
2014,101,2025
2015,101,
2016,101,
2017,101,2025
2018,101,2025
2019,101,2025
2020,101,2025
2008,102,35862
2009,102,33818
2010,102,41168
2011,102,41765
2012,102,41705
2013,102,41584
2014,102,44911
2015,102,45712
2016,102,42340
2017,102,39405
2018,102,39273
2019,102,39340
2020,102,39017
2008,103,11065
2009,103,10998
2010,103,11212
2011,103,10296
2012,103,10450
2013,103,9400
2014,103,9576
2015,103,
2016,103,
2017,103,
2018,103,7319
2019,103,
2020,103,
2008,104,0
2009,104,0
2010,104,0
2011,104,0
2012,104,0
2013,104,
2014,104,
2015,104,
2016,104,
2017,104,4658
2018,104,4658
2019,104,4658
2020,104,4658
2008,105,
2009,105,84
2010,105,84
2011,105,84
2012,105,84
2013,105,84
2014,105,84
2015,105,84
2016,105,84
2017,105,84
2018,105,84
2019,105,84
2020,105,84
2008,106,10101
2009,106,10139
2010,106,10573
2011,106,20492
2012,106,30809
2013,106,30229
2014,106,34773
2015,106,53132
2016,106,52241
2017,106,67112
2018,106,65773
2019,106,63844
2020,106,67464
2008,107,4430
2009,107,3732
2010,107,387
2011,107,387
2012,107,0
2013,107,0
2014,107,0
2015,107,0
2016,107,0
2017,107,0
2018,107,0
2019,107,0
2020,107,115
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,
2015,108,42212
2016,108,77865
2017,108,77208
2018,108,150670
2019,108,147761
2020,108,162903
2008,109,
2009,109,22290
2010,109,22290
2011,109,22290
2012,109,22290
2013,109,76836
2014,109,76859
2015,109,76801
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,3649
2012,110,6411
2013,110,
2014,110,
2015,110,
2016,110,
2017,110,
2018,110,
2019,110,
2020,110,
2008,111,6686
2009,111,170
2010,111,
2011,111,
2012,111,0
2013,111,
2014,111,
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,77947
2009,112,78298
2010,112,83911
2011,112,122944
2012,112,121365
2013,112,94081
2014,112,96432
2015,112,135605
2016,112,152502
2017,112,191639
2018,112,222374
2019,112,478420
2020,112,
2008,113,17168
2009,113,17438
2010,113,17921
2011,113,18046
2012,113,17252
2013,113,16852
2014,113,17069
2015,113,17683
2016,113,19316
2017,113,22660
2018,113,23542
2019,113,23550
2020,113,23471
2008,114,
2009,114,
2010,114,
2011,114,
2012,114,
2013,114,
2014,114,
2015,114,
2016,114,
2017,114,
2018,114,
2019,114,
2020,114,
2008,115,10618
2009,115,10618
2010,115,10618
2011,115,10618
2012,115,10618
2013,115,10618
2014,115,10618
2015,115,10618
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,6602
2009,116,6602
2010,116,6602
2011,116,5473
2012,116,4445
2013,116,4445
2014,116,4445
2015,116,4445
2016,116,6422
2017,116,6215
2018,116,24847
2019,116,27069
2020,116,22568
2008,117,
2009,117,
2010,117,
2011,117,394
2012,117,
2013,117,
2014,117,
2015,117,
2016,117,
2017,117,
2018,117,
2019,117,
2020,117,129
2008,118,60474
2009,118,62171
2010,118,63171
2011,118,63171
2012,118,63171
2013,118,63171
2014,118,63171
2015,118,42671
2016,118,36794
2017,118,36794
2018,118,36794
2019,118,36794
2020,118,36794
2008,119,174613
2009,119,195969
2010,119,209655
2011,119,213400
2012,119,225921
2013,119,234792
2014,119,279373
2015,119,347388
2016,119,390708
2017,119,429442
2018,119,434699
2019,119,508670
2020,119,549168
2008,120,
2009,120,
2010,120,
2011,120,61586
2012,120,60416
2013,120,299813
2014,120,265197
2015,120,263614
2016,120,278229
2017,120,253798
2018,120,254830
2019,120,260802
2020,120,245843
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,1907000
2013,121,1823000
2014,121,2062538
2015,121,2263818
2016,121,2331132
2017,121,2070822
2018,121,2148608
2019,121,2272816
2020,121,1592136
2008,122,0
2009,122,0
2010,122,0
2011,122,0
2012,122,10638
2013,122,6885
2014,122,4943
2015,122,5217
2016,122,7658
2017,122,7804
2018,122,7789
2019,122,7767
2020,122,7733
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,
2015,123,
2016,123,
2017,123,662
2018,123,5348
2019,123,5348
2020,123,
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,295
2016,124,496
2017,124,894
2018,124,2208
2019,124,2211
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,29575
2016,125,48744
2017,125,42503
2018,125,47708
2019,125,56780
2020,125,54963
2008,126,114892
2009,126,114897
2010,126,114582
2011,126,118367
2012,126,125801
2013,126,125801
2014,126,1000
2015,126,798
2016,126,0
2017,126,
2018,126,
2019,126,
2020,126,
2008,127,0
2009,127,0
2010,127,
2011,127,
2012,127,
2013,127,
2014,127,
2015,127,
2016,127,
2017,127,
2018,127,
2019,127,
2020,127,
2008,128,51473
2009,128,56741
2010,128,51473
2011,128,48162
2012,128,
2013,128,38033
2014,128,38033
2015,128,36414
2016,128,36414
2017,128,36414
2018,128,36414
2019,128,
2020,128,
2008,129,60099
2009,129,60333
2010,129,58357
2011,129,62099
2012,129,62011
2013,129,6977
2014,129,6977
2015,129,6977
2016,129,6977
2017,129,6977
2018,129,
2019,129,
2020,129,
2008,130,38855
2009,130,35017
2010,130,35052
2011,130,35067
2012,130,34569
2013,130,34569
2014,130,34569
2015,130,34569
2016,130,34569
2017,130,34569
2018,130,34569
2019,130,
2020,130,
2008,131,0
2009,131,0
2010,131,0
2011,131,0
2012,131,0
2013,131,
2014,131,
2015,131,
2016,131,
2017,131,
2018,131,
2019,131,
2020,131,
2008,132,4396341
2009,132,4395895
2010,132,4396851
2011,132,4382977
2012,132,4382757
2013,132,4382757
2014,132,4382757
2015,132,4382757
2016,132,4382757
2017,132,4548753
2018,132,21322411
2019,132,12426000
2020,132,12785000
2008,133,
2009,133,
2010,133,
2011,133,
2012,133,
2013,133,
2014,133,
2015,133,
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,70487
2009,134,66953
2010,134,66953
2011,134,63642
2012,134,52271
2013,134,43935
2014,134,43935
2015,134,42034
2016,134,42034
2017,134,82865
2018,134,86026
2019,134,121492
2020,134,87233
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,
2015,135,
2016,135,
2017,135,
2018,135,
2019,135,
2020,135,
2008,136,0
2009,136,0
2010,136,0
2011,136,
2012,136,0
2013,136,
2014,136,
2015,136,
2016,136,
2017,136,
2018,136,
2019,136,
2020,136,
2008,137,1394
2009,137,1394
2010,137,1394
2011,137,1394
2012,137,1394
2013,137,1394
2014,137,1394
2015,137,1394
2016,137,1394
2017,137,2318
2018,137,2318
2019,137,2318
2020,137,2318
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,5667
2009,139,0
2010,139,0
2011,139,0
2012,139,
2013,139,
2014,139,
2015,139,
2016,139,
2017,139,
2018,139,
2019,139,
2020,139,
2008,140,57418
2009,140,56603
2010,140,55902
2011,140,53274
2012,140,45265
2013,140,43010
2014,140,0
2015,140,
2016,140,
2017,140,
2018,140,
2019,140,
2020,140,
2008,141,463374
2009,141,447317
2010,141,447315
2011,141,447315
2012,141,140121
2013,141,88854
2014,141,66374
2015,141,45374
2016,141,0
2017,141,0
2018,141,0
2019,141,0
2020,141,0
2008,142,7198
2009,142,7198
2010,142,7198
2011,142,7198
2012,142,7198
2013,142,7198
2014,142,7198
2015,142,7198
2016,142,46200
2017,142,198500
2018,142,198500
2019,142,198500
2020,142,198500
2008,143,29253
2009,143,29265
2010,143,29265
2011,143,29265
2012,143,29822
2013,143,29822
2014,143,29822
2015,143,
2016,143,
2017,143,
2018,143,
2019,143,29822
2020,143,
2008,144,80021
2009,144,72867
2010,144,73111
2011,144,73474
2012,144,75010
2013,144,75010
2014,144,18147
2015,144,18397
2016,144,15982
2017,144,15982
2018,144,15469
2019,144,22019
2020,144,22019
2008,145,
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,
2014,145,
2015,145,
2016,145,
2017,145,
2018,145,
2019,145,
2020,145,
2008,146,27106
2009,146,27106
2010,146,27106
2011,146,8187
2012,146,7472
2013,146,11924
2014,146,16710
2015,146,17009
2016,146,
2017,146,
2018,146,
2019,146,17286
2020,146,17286
2008,147,431662
2009,147,427801
2010,147,434550
2011,147,458694
2012,147,319087
2013,147,249288
2014,147,252618
2015,147,251789
2016,147,277288
2017,147,271924
2018,147,49821
2019,147,49828
2020,147,46927
